,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
0,1,1,k409198,aa90260b-4141-4a24-8e36-b04ce1f4f77b,point baker,ak,prince of wales-hyder,99927,56.251,-133.37571,38,urban,america/sitka,environmental health practitioner,1.0,68.0,master's degree,part time,28561.99,widowed,male,no,6.972566093,10,0,1,no,one year,yes,yes,fiber optic,yes,no,yes,yes,no,no,no,yes,yes,credit card (automatic),6.795512947,171.4497621,904.5361102,5,5,5,3,4,4,3,4
1,2,2,s120509,fb76459f-c047-4a9d-8af9-e0f7d4ac2524,west branch,mi,ogemaw,48661,44.32893,-84.2408,10446,urban,america/detroit,"programmer, multimedia",1.0,27.0,regular high school diploma,retired,21704.77,married,female,yes,12.01454108,12,0,1,yes,month-to-month,no,yes,fiber optic,yes,yes,yes,no,no,no,yes,yes,yes,bank transfer(automatic),1.156680997,242.9480155,800.9827661,3,4,3,3,4,3,4,4
2,3,3,k191035,344d114c-3736-4be5-98f7-c72c281e2d35,yamhill,or,yamhill,97148,45.35589,-123.24657,3735,urban,america/los_angeles,chief financial officer,4.0,50.0,regular high school diploma,student,33186.785,widowed,female,no,10.24561565,9,0,1,yes,two year,yes,no,dsl,yes,yes,no,no,no,no,no,yes,yes,credit card (automatic),15.75414408,159.4403984,2054.706961,4,4,2,4,4,3,3,3
3,4,4,d90850,abfa2b40-2d43-4994-b15a-989b8c79e311,del mar,ca,san diego,92014,32.96687,-117.24798,13863,suburban,america/los_angeles,solicitor,1.0,48.0,doctorate degree,retired,18925.23,married,male,no,15.20619309,15,2,0,yes,two year,no,no,dsl,yes,no,yes,no,no,no,yes,no,yes,mailed check,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3
4,5,5,k662701,68a861fd-0d20-4e51-a587-8a90407ee574,needville,tx,fort bend,77461,29.38012,-95.80673,11352,suburban,america/chicago,medical illustrator,0.0,83.0,master's degree,student,40074.19,separated,male,yes,8.960316419,16,2,1,no,month-to-month,yes,no,fiber optic,no,no,no,no,no,yes,yes,no,no,mailed check,1.670971726,150.7612159,271.4934362,4,4,4,3,4,4,4,5
5,6,6,w303516,2b451d12-6c2b-4cea-a295-ba1d6bced078,fort valley,ga,peach,31030,32.57032,-83.8904,17701,urban,america/new_york,chief technology officer,3.0,83.0,no schooling completed,full time,33186.785,never married,female,no,7.814858954,15,3,1,no,one year,yes,no,nan,yes,yes,yes,yes,yes,no,no,yes,no,electronic check,7.000993555,184.4015581,1039.357983,3,3,3,2,4,3,3,3
6,7,7,u335188,6630d501-838c-4be4-a59c-6f58c814ed6a,pioneer,tn,scott,37847,36.4342,-84.27892,2535,suburban,america/new_york,"surveyor, hydrographic",0.0,53.0,associate's degree,full time,11467.5,widowed,male,yes,11.12909443,10,0,1,yes,month-to-month,no,no,dsl,yes,no,no,no,no,yes,yes,yes,no,electronic check,13.23677381,200.0648859,1907.242972,6,5,6,4,1,5,5,5
7,8,8,v538685,70ddaa89-b726-49dc-9022-2d655e4c7936,oklahoma city,ok,oklahoma,73109,35.43313,-97.52463,23144,suburban,america/chicago,sales promotion account executive,2.0,53.0,bachelor's degree,full time,26759.64,married,female,yes,7.594838367,16,0,0,yes,month-to-month,no,no,dsl,no,no,no,yes,no,no,no,no,yes,mailed check,36.19603,114.7541111,979.6127078,2,2,2,5,2,3,4,5
8,9,9,m716771,05a49ee3-8fd5-453a-a5f3-82b6cd986856,saint cloud,fl,osceola,34771,28.27646,-81.16273,17351,suburban,america/new_york,teaching laboratory technician,2.0,49.0,"some college, less than 1 year",full time,58634.51,separated,prefer not to answer,no,6.637258801,20,2,3,no,month-to-month,yes,no,dsl,yes,no,yes,yes,no,no,no,no,yes,bank transfer(automatic),8.220686373,118.3668439,1312.874964,5,4,4,3,4,3,4,4
9,10,10,i676080,86f17e4d-2c24-4b70-a6ec-dddf0609dbaa,cincinnati,oh,hamilton,45237,39.19296,-84.4523,20193,rural,america/new_york,museum education officer,1.0,86.0,ged or alternative credential,full time,50231.4,married,female,no,9.230409493,18,1,0,no,two year,yes,no,fiber optic,yes,no,yes,no,yes,no,no,yes,yes,mailed check,3.422086139,163.0052796,508.7637913,2,2,2,2,5,2,3,3
