state_abbr,county_clean,MonthlyCharge,Tenure,Churn_Flag,InternetService
AK,PRINCE OF WALES-HYDER,172.455519,6.795512947,0,Fiber Optic
MI,OGEMAW,242.632554,1.156680997,1,Fiber Optic
OR,YAMHILL,159.947583,15.75414408,0,DSL
CA,SAN DIEGO,119.95684,17.08722662,0,DSL
TX,FORT BEND,149.948316,1.670971726,1,Fiber Optic
GA,PEACH,185.007692,7.000993555,0,
TN,SCOTT,200.118516,13.23677381,1,DSL
OK,OKLAHOMA,114.950905,4.26425515,1,DSL
FL,OSCEOLA,117.468591,8.220686373,0,DSL
OH,HAMILTON,162.482694,3.422086139,0,Fiber Optic
PA,SUSQUEHANNA,174.958118,19.26726194,0,DSL
PR,COROZAL,149.962093,10.52199781,0,Fiber Optic
IA,MUSCATINE,137.439154,13.01149229,0,Fiber Optic
ME,ANDROSCOGGIN,184.971516,16.87922024,0,Fiber Optic
IL,COOK,159.965581,10.06019902,1,DSL
WI,VILAS,177.65076,13.87001293,1,
CA,STANISLAUS,194.966286,15.78214958,1,DSL
NC,ROBESON,202.682861,2.303331273,1,
TN,FAYETTE,152.490739,17.10995632,0,
AL,BLOUNT,149.944668,12.80615845,1,DSL
IL,KANE,184.978458,20.45390977,0,Fiber Optic
OH,FRANKLIN,127.495766,2.415991977,0,Fiber Optic
IA,PALO ALTO,124.964303,6.652298992,0,Fiber Optic
ME,WASHINGTON,149.948316,8.543717478,0,Fiber Optic
OH,CLERMONT,162.511928,5.770390256,1,
FL,ST JOHNS,92.455141,4.157658837,1,DSL
NM,MCKINLEY,222.649979,10.40566091,1,Fiber Optic
MI,MONROE,139.981577,1.392421597,1,
VT,WASHINGTON,200.132293,1.430386349,1,DSL
MD,MONTGOMERY,257.651257,5.425864884,1,DSL
NY,ONEIDA,230.105118,11.08287797,0,Fiber Optic
OH,DEFIANCE,147.489301,3.586184954,0,
WA,LEWIS,230.105118,4.727388465,1,Fiber Optic
MI,SCHOOLCRAFT,174.958118,20.89923386,1,DSL
IL,LIVINGSTON,267.664655,3.471329958,1,Fiber Optic
MI,CALHOUN,162.483267,5.478588204,1,DSL
CT,HARTFORD,229.993134,3.312991809,1,Fiber Optic
NJ,SUSSEX,140.00128,7.161561527,0,DSL
DC,DISTRICT OF COLUMBIA,184.964681,9.847563364,0,Fiber Optic
PA,BUCKS,147.473844,16.04202196,0,Fiber Optic
NJ,OCEAN,172.457857,9.179779682,0,Fiber Optic
PA,BLAIR,107.481989,3.002844144,0,DSL
OK,CARTER,255.141716,3.924254455,1,Fiber Optic
PA,INDIANA,192.456745,18.55959629,0,Fiber Optic
NY,NEW YORK,242.632554,8.798394712,1,Fiber Optic
MI,DICKINSON,245.174977,10.377366,1,
IL,PEORIA,184.964681,22.25746016,1,Fiber Optic
WA,WHATCOM,195.006206,9.427146079,1,Fiber Optic
TN,HAMILTON,104.962874,7.760290062,0,
ND,WELLS,92.488023,11.56938439,0,
AL,COOSA,184.979684,3.343811019,1,DSL
NC,DAVIDSON,187.656013,7.338869531,1,
LA,EAST CARROLL,149.962093,5.486534225,0,Fiber Optic
IA,CALHOUN,169.944668,1.55278221,1,Fiber Optic
